지역,구군,학업성취도,인구 천명당 사설학원수
서울특별시,종로구,0.6839,0.8126
서울특별시,중구,0.5013,0.2944
서울특별시,용산구,0.2679,0.1629
서울특별시,성동구,0.2464,0.3366
서울특별시,광진구,0.4879,0.4607
서울특별시,동대문구,0.5119,0.3491
서울특별시,중랑구,0.1537,0.1587
서울특별시,성북구,0.4649,0.3618
서울특별시,강북구,0.1063,0.1587
서울특별시,도봉구,0.4725,0.3182
서울특별시,노원구,0.8054,0.5688
서울특별시,은평구,0.1314,0.3746
서울특별시,서대문구,0.3663,0.3941
서울특별시,마포구,0.5487,0.7789
서울특별시,양천구,0.5632,0.9588
서울특별시,강서구,0.2969,0.4405
서울특별시,구로구,0.3886,0.3618
서울특별시,금천구,0.2392,0.2944
서울특별시,영등포구,0.2797,0.5013
서울특별시,동작구,0.3623,0.4271
서울특별시,관악구,0.1501,0.2658
서울특별시,서초구,0.503,0.9882
서울특별시,강남구,0.5955,1
서울특별시,송파구,0.4632,0.7021
서울특별시,강동구,0.3951,0.6471
부산광역시,중구,0.3472,0.5621
부산광역시,서구,0.2663,0.3122
부산광역시,동구,0.3953,0.2181
부산광역시,영도구,0.4087,0.1547
부산광역시,부산진구,0.5995,0.6596
부산광역시,동래구,0.5999,0.8769
부산광역시,남구,0.619,0.4271
부산광역시,북구,0.5832,0.542
부산광역시,해운대구,0.5989,0.6902
부산광역시,사하구,0.7165,0.5487
부산광역시,금정구,0.7324,0.7308
부산광역시,강서구,0.2152,0.5149
부산광역시,연제구,0.5233,0.5621
부산광역시,수영구,0.4581,0.6902
부산광역시,사상구,0.5093,0.2181
부산광역시,기장군,0.5007,0.4271
대구광역시,중구,0.6247,1
대구광역시,동구,0.3777,0.3811
대구광역시,서구,0.5229,0.2439
대구광역시,남구,0.4699,0.2334
대구광역시,북구,0.7195,0.5621
대구광역시,수성구,0.707,0.9541
대구광역시,달서구,0.766,0.7738
대구광역시,달성군,0.499,0.6407
인천광역시,중구,0.3333,0.2231
인천광역시,동구,0.7253,0.1714
인천광역시,연수구,0.7789,0.808
인천광역시,남동구,0.5361,0.5554
인천광역시,부평구,0.5,0.4946
인천광역시,계양구,0.5639,0.4878
인천광역시,서구,0.4347,0.5554
인천광역시,미추홀구,0.3674,0.2714
인천광역시,강화군,0.1909,0.1714
인천광역시,옹진군,0.5987,0.0334
광주광역시,동구,0.6093,0.9947
광주광역시,서구,0.7607,0.984
광주광역시,남구,0.6859,0.986
광주광역시,북구,0.6689,0.8803
광주광역시,광산구,0.7236,0.9671
대전광역시,동구,0.7541,0.2828
대전광역시,중구,0.6226,0.6019
대전광역시,서구,1,0.8303
대전광역시,유성구,0.968,0.6658
대전광역시,대덕구,0.8592,0.5487
울산광역시,중구,0.6832,0.8869
울산광역시,남구,0.8894,0.9997
울산광역시,동구,0.7956,0.7582
울산광역시,북구,0.7281,0.8171
울산광역시,울주군,0.7199,0.7937
세종특별자치시,세종시,0.587,0.7079
경기도,수원시,0.7801,0.7888
경기도,성남시,0.7748,0.9081
경기도,의정부시,0.8666,0.7138
경기도,안양시,0.8866,0.8429
경기도,부천시,0.5391,0.6471
경기도,광명시,0.7989,0.7839
경기도,평택시,0.655,0.6019
경기도,동두천시,0.4777,0.3243
경기도,안산시,0.6281,0.6658
경기도,고양시,0.7661,0.8662
경기도,과천시,0.7262,0.5284
경기도,구리시,0.6839,0.808
경기도,남양주시,0.6473,0.5554
경기도,오산시,0.74,0.4878
경기도,시흥시,0.6935,0.672
경기도,군포시,0.8557,0.7138
경기도,의왕시,0.8337,0.4271
경기도,하남시,0.426,0.3811
경기도,용인시,0.8399,0.8216
경기도,파주시,0.5562,0.5013
경기도,이천시,0.5669,0.8033
경기도,안성시,0.8854,0.4878
경기도,김포시,0.6643,0.7252
경기도,화성시,0.7077,0.7528
경기도,광주시,0.3887,0.3941
경기도,양주시,0.7058,0.4072
경기도,포천시,0.7527,0.2828
경기도,여주시,0.7788,0.3746
경기도,연천군,0.4499,0.2386
경기도,가평군,0.435,0.2944
경기도,양평군,0.2166,0.1939
강원도,춘천시,0.9163,0.7021
강원도,원주시,0.8496,0.7937
강원도,강릉시,0.7821,0.8469
강원도,동해시,0.5509,0.7021
강원도,태백시,0.3456,0.4138
강원도,속초시,0.3912,0.6019
강원도,삼척시,0.8884,0.3243
강원도,홍천군,0.434,0.4271
강원도,횡성군,0.7509,0.3122
강원도,영월군,0.6244,0.1802
강원도,평창군,0.2596,0.2334
강원도,정선군,0.1452,0.1847
강원도,철원군,0.3258,0.3746
강원도,화천군,0.3247,0.1939
강원도,양구군,0.1876,0.2658
강원도,인제군,0.2333,0.2828
강원도,고성군,0.3854,0.1177
강원도,양양군,0.3986,0.1802
충청북도,충주시,0.8624,0.5755
충청북도,제천시,0.6123,0.5821
충청북도,청주시,0.8351,0.7634
충청북도,보은군,0.391,0.1847
충청북도,옥천군,0.6201,0.128
충청북도,영동군,0.5048,0.2602
충청북도,진천군,0.1948,0.3941
충청북도,괴산군,0.6809,0.0723
충청북도,음성군,0.7805,0.277
충청북도,단양군,0.679,0.0848
충청북도,증평군,0.3556,0.5821
충청남도,천안시,0.7677,0.8509
충청남도,공주시,0.9708,0.4742
충청남도,보령시,0.6917,0.4946
충청남도,아산시,0.7662,0.5149
충청남도,서산시,0.4736,0.5487
충청남도,논산시,0.6768,0.3618
충청남도,계룡시,0.8135,0.4742
충청남도,당진시,0.3652,0.4675
충청남도,금산군,0.7188,0.1506
충청남도,부여군,0.4818,0.1802
충청남도,서천군,0.6138,0.3243
충청남도,청양군,0.7694,0.1353
충청남도,홍성군,0.6033,0.4878
충청남도,예산군,0.4369,0.3003
충청남도,태안군,0.5712,0.7138
전라북도,전주시,0.8056,0.999
전라북도,군산시,0.8449,0.9163
전라북도,익산시,0.9334,0.9415
전라북도,정읍시,0.66,0.7789
전라북도,남원시,0.8382,0.6215
전라북도,김제시,0.4906,0.3811
전라북도,완주군,0.6903,0.6019
전라북도,진안군,0.0306,0.0678
전라북도,무주군,0.1036,0.1802
전라북도,장수군,0.1613,0.128
전라북도,임실군,0.0287,0.1048
전라북도,순창군,0.0539,0.1353
전라북도,고창군,0.2517,0.2547
전라북도,부안군,0.3643,0.3182
전라남도,목포시,0.759,0.9238
전라남도,여수시,0.3478,0.8734
전라남도,순천시,0.8416,0.8388
전라남도,나주시,0.469,0.4271
전라남도,광양시,0.4901,0.7252
전라남도,담양군,0.3737,0.0499
전라남도,곡성군,0.778,0.2034
전라남도,구례군,0.3922,0.1847
전라남도,고흥군,0.189,0.2034
전라남도,보성군,0.0683,0.1467
전라남도,화순군,0.6615,0.5217
전라남도,장흥군,0.1344,0.2082
전라남도,강진군,0.2276,0.1892
전라남도,해남군,,0.2602
전라남도,영암군,0.5228,0.2658
전라남도,무안군,0.8237,0.8769
전라남도,함평군,0.4961,0.0902
전라남도,영광군,0.5122,0.542
전라남도,장성군,0.0853,0.2282
전라남도,완도군,0.0837,0.1506
전라남도,진도군,0.2949,0.2439
전라남도,신안군,0.2695,0.0334
경상북도,포항시,0.6452,0.6471
경상북도,경주시,0.6627,0.5487
경상북도,김천시,0.5189,0.2828
경상북도,안동시,0.7815,0.672
경상북도,구미시,0.9158,0.8836
경상북도,영주시,0.6489,0.6902
경상북도,영천시,0.3817,0.2828
경상북도,상주시,0.4685,0.3746
경상북도,문경시,0.4576,0.4138
경상북도,경산시,0.7763,0.5013
경상북도,군위군,0.247,0.0554
경상북도,의성군,0.0836,0.0573
경상북도,청송군,0.4436,0.0988
경상북도,영양군,0.1529,0.0593
경상북도,영덕군,0.0139,0.1714
경상북도,청도군,0.2946,0.1547
경상북도,고령군,0.4778,0.1671
경상북도,성주군,0.252,0.1211
경상북도,칠곡군,0.8217,0.6658
경상북도,예천군,0.2797,0.2547
경상북도,봉화군,0.0272,0.07
경상북도,울진군,0.1987,0.3366
경상북도,울릉군,0.3,0.0347
경상남도,진주시,0.9004,0.9833
경상남도,통영시,0.8503,0.7474
경상남도,사천시,0.8182,0.8126
경상남도,김해시,0.9055,0.9189
경상남도,밀양시,0.6355,0.542
경상남도,거제시,0.6174,0.8126
경상남도,양산시,0.5557,0.6781
경상남도,창원시,0.9113,0.8346
경상남도,의령군,0.4605,0.1629
경상남도,함안군,0.7669,0.4405
경상남도,창녕군,0.308,0.2547
경상남도,고성군,0.6217,0.5284
경상남도,남해군,0.6532,0.3243
경상남도,하동군,0.3184,0.2231
경상남도,산청군,0.4212,0.1211
경상남도,함양군,0.5064,0.3062
경상남도,거창군,0.8178,0.5621
경상남도,합천군,0.164,0.2386
제주특별자치도,제주시,0.6468,0.6658
제주특별자치도,서귀포시,0.6468,0.6658
